10.52,4.18,-7.37,-0.54,4.67,4.47,2.89,-0.85,-10.58,-1.82,-0.04,-0.82,-0.13,0.13,-0.33,-0.66,0.53,0.70,1.13,0.20,0.39,0.34,0.54,0.49,0.56
11.02,7.31,-5.35,-2.81,3.25,5.38,2.94,-16.49,-14.63,8.67,-0.94,-0.92,0.91,0.11,-0.18,-0.11,0.67,0.54,1.01,0.15,0.44,0.48,0.43,0.82,0.72
11.26,7.36,-5.13,-3.03,3.68,5.35,3.31,-18.89,-17.30,11.62,-0.96,-0.97,0.95,0.11,-0.09,-0.01,0.92,0.48,0.97,0.31,0.41,0.72,0.69,0.87,0.80
11.34,6.78,-6.15,-2.69,4.04,5.12,3.61,-19.18,-17.79,13.85,-0.93,-0.96,0.95,0.12,-0.17,0.03,1.25,0.55,0.87,0.36,0.41,0.81,0.52,0.85,0.75
11.25,6.34,-6.50,-3.59,2.92,5.32,3.06,-12.41,-12.83,7.72,-0.80,-0.79,0.86,-0.02,-0.08,0.07,1.18,0.45,0.81,0.18,0.25,0.65,0.33,0.69,0.68
10.90,6.20,-6.25,-3.95,1.97,5.25,2.57,-8.58,-10.06,3.69,-0.83,-0.75,0.73,0.21,0.02,0.07,0.97,0.32,0.73,0.08,0.17,0.40,0.25,0.72,0.57
10.99,6.11,-7.16,-1.78,2.81,4.63,4.09,-12.03,-16.85,9.83,-0.92,-0.89,0.85,0.17,0.06,0.01,0.89,0.54,0.71,0.22,0.34,0.42,0.45,0.90,0.66
11.13,5.86,-7.60,-0.92,3.38,4.68,4.39,-15.13,-19.85,14.28,-0.96,-0.96,0.96,0.01,-0.08,0.01,0.80,0.67,0.75,0.34,0.42,0.50,0.63,0.84,0.83
11.18,5.54,-7.72,-1.42,3.45,5.20,4.05,-16.83,-19.95,13.43,-0.94,-0.95,0.96,0.00,-0.12,0.03,1.07,0.65,0.81,0.44,0.46,0.67,0.63,0.87,0.77
11.15,5.61,-7.77,-1.99,2.79,4.99,3.68,-13.19,-17.37,9.59,-0.95,-0.95,0.93,-0.03,-0.01,0.01,0.98,0.54,0.77,0.30,0.40,0.50,0.57,0.96,0.66
10.72,5.90,-7.46,-1.83,2.38,4.01,3.46,-8.53,-12.14,7.73,-0.89,-0.87,0.94,0.12,0.06,-0.01,0.97,0.51,0.65,0.06,0.28,0.35,0.11,0.84,0.55
10.74,6.30,-7.37,-0.72,2.88,3.68,3.77,-9.78,-12.77,10.28,-0.92,-0.92,0.95,-0.00,0.10,-0.02,0.92,0.63,0.67,0.07,0.38,0.30,0.12,0.89,0.48
11.01,6.54,-7.44,-0.55,3.18,3.91,3.95,-12.10,-15.11,12.21,-0.97,-0.98,0.97,-0.05,0.01,0.01,0.54,0.64,0.70,0.19,0.42,0.25,0.54,0.94,0.67
10.80,6.02,-7.47,-1.18,3.28,4.30,3.64,-13.26,-15.11,11.60,-0.94,-0.97,0.97,0.07,-0.14,0.04,0.65,0.61,0.80,0.33,0.44,0.47,0.83,0.91,0.90
10.79,6.23,-6.55,-2.17,2.84,5.29,3.29,-9.65,-16.32,7.38,-0.64,-0.94,0.79,-0.33,-0.00,-0.19,0.89,0.57,0.95,0.17,0.32,0.72,0.34,0.60,0.86
11.23,7.89,-4.35,-2.77,2.07,5.69,3.06,-5.92,-15.65,4.75,-0.50,-0.90,0.75,-0.26,0.09,-0.22,0.97,0.37,0.92,0.10,0.19,0.73,0.29,0.56,0.82
11.48,8.75,-3.42,-2.39,2.21,5.13,3.60,-10.02,-17.29,7.38,-0.88,-0.94,0.93,0.13,0.01,0.02,0.83,0.45,0.85,0.25,0.32,0.56,0.65,0.83,0.80
11.49,8.47,-4.09,-2.15,2.62,4.97,3.95,-12.53,-19.09,9.95,-0.96,-0.97,0.96,0.08,-0.00,0.04,0.78,0.54,0.88,0.29,0.43,0.55,0.69,0.90,0.81
11.29,8.19,-4.30,-2.31,2.42,4.93,3.84,-11.76,-18.66,9.05,-0.98,-0.98,0.97,0.06,-0.03,0.03,0.65,0.51,0.91,0.25,0.44,0.49,0.76,0.95,0.84
11.03,8.35,-3.91,-2.28,2.34,4.50,3.71,-10.02,-16.30,8.27,-0.95,-0.98,0.95,-0.15,-0.02,-0.08,0.66,0.50,0.87,0.27,0.42,0.49,0.82,0.97,0.85
11.06,8.70,-2.72,-2.86,2.32,4.33,3.59,-9.10,-14.84,7.71,-0.90,-0.95,0.92,-0.11,-0.12,-0.08,0.66,0.49,0.84,0.20,0.34,0.45,0.63,0.84,0.82
11.46,8.43,-2.35,-3.90,2.52,4.65,3.86,-10.78,-16.76,9.31,-0.92,-0.93,0.96,0.09,-0.11,0.05,0.65,0.51,0.88,0.24,0.40,0.48,0.72,0.87,0.83
11.51,8.26,-2.89,-3.88,2.81,4.64,3.98,-12.66,-18.06,10.69,-0.97,-0.98,0.96,0.04,0.04,0.03,0.73,0.53,0.88,0.27,0.43,0.51,0.69,0.93,0.79
11.30,8.60,-3.08,-3.24,2.84,4.29,3.72,-11.77,-15.71,10.10,-0.97,-0.99,0.96,-0.12,0.08,0.02,0.67,0.49,0.79,0.20,0.36,0.36,0.61,0.93,0.67
11.14,8.72,-3.25,-2.83,2.91,3.91,3.60,-10.83,-13.78,10.07,-0.95,-0.98,0.96,-0.05,0.04,0.04,0.64,0.51,0.73,0.25,0.35,0.35,0.76,0.95,0.75
11.16,8.55,-3.43,-2.89,3.32,4.00,3.65,-12.65,-14.16,11.74,-0.95,-0.97,0.97,0.10,-0.11,0.04,0.73,0.55,0.76,0.32,0.39,0.44,0.80,0.92,0.81
11.33,8.06,-4.05,-3.40,3.14,4.83,3.58,-13.62,-16.69,10.70,-0.90,-0.96,0.95,0.06,-0.13,0.02,0.87,0.52,0.85,0.28,0.40,0.50,0.63,0.90,0.67
11.33,7.95,-4.41,-3.31,2.83,4.88,3.53,-12.64,-16.46,9.56,-0.92,-0.96,0.96,0.02,0.05,-0.01,0.86,0.53,0.86,0.29,0.41,0.52,0.63,0.90,0.70
11.25,8.38,-4.31,-2.58,3.22,3.91,3.76,-11.59,-13.82,11.92,-0.92,-0.94,0.98,-0.03,0.06,-0.02,0.69,0.63,0.75,0.32,0.44,0.41,0.74,0.92,0.80
11.24,8.57,-4.33,-2.19,3.46,3.59,3.85,-11.83,-13.42,13.10,-0.95,-0.97,0.98,0.04,-0.02,-0.00,0.54,0.66,0.71,0.22,0.46,0.25,0.60,0.97,0.64
11.23,8.44,-4.37,-2.25,3.47,3.93,3.76,-13.19,-14.41,12.84,-0.97,-0.98,0.98,0.01,0.00,0.02,0.56,0.64,0.74,0.20,0.45,0.26,0.55,0.95,0.63
11.12,8.44,-4.20,-2.31,3.57,3.82,3.62,-13.34,-13.65,12.73,-0.98,-0.99,0.99,-0.04,-0.01,0.03,0.53,0.62,0.72,0.26,0.43,0.30,0.79,0.96,0.80
11.03,8.13,-4.40,-2.68,3.75,4.11,3.40,-14.39,-13.19,12.50,-0.93,-0.94,0.98,0.11,-0.10,0.04,0.56,0.62,0.77,0.26,0.44,0.35,0.75,0.90,0.79
10.93,7.67,-4.75,-3.41,2.96,4.10,3.35,-11.00,-12.85,8.64,-0.91,-0.93,0.87,0.09,-0.13,0.00,0.61,0.56,0.74,0.15,0.37,0.26,0.44,0.89,0.58
11.00,7.71,-4.99,-3.37,1.93,3.89,3.54,-7.15,-13.05,6.17,-0.95,-0.95,0.90,-0.02,-0.01,0.01,0.53,0.53,0.64,0.09,0.32,0.15,0.32,0.96,0.46
11.04,7.87,-4.68,-3.27,2.19,4.15,3.47,-8.69,-13.61,7.07,-0.96,-0.95,0.93,-0.07,0.06,-0.00,0.52,0.51,0.67,0.17,0.33,0.24,0.64,0.97,0.70
10.80,8.32,-4.13,-3.22,2.20,3.65,2.73,-7.32,-8.38,5.42,-0.91,-0.84,0.90,-0.02,-0.00,-0.03,0.89,0.42,0.62,0.06,0.22,0.32,0.17,0.84,0.58
10.69,8.54,-3.81,-3.12,2.02,3.58,2.34,-6.52,-6.98,4.15,-0.90,-0.83,0.88,-0.02,-0.04,0.02,0.91,0.36,0.63,0.03,0.18,0.33,0.11,0.81,0.58
10.72,8.09,-4.06,-3.21,2.14,4.27,2.72,-8.58,-10.58,5.12,-0.94,-0.91,0.88,0.01,-0.04,0.07,0.64,0.39,0.75,0.14,0.28,0.35,0.57,0.95,0.72
10.96,7.85,-4.95,-3.11,2.02,4.41,2.96,-8.20,-12.04,4.99,-0.92,-0.92,0.83,0.06,-0.06,0.05,0.59,0.41,0.74,0.14,0.30,0.31,0.57,0.97,0.70
11.09,7.76,-5.12,-3.39,1.54,4.45,3.04,-5.87,-12.66,3.73,-0.86,-0.94,0.80,0.10,-0.09,-0.01,0.57,0.38,0.69,0.09,0.25,0.23,0.43,0.96,0.57
10.80,7.82,-4.95,-3.47,1.14,3.84,2.66,-3.59,-9.53,2.34,-0.82,-0.94,0.77,0.02,-0.03,-0.05,0.52,0.35,0.62,0.04,0.20,0.14,0.22,0.93,0.44
10.63,8.01,-4.64,-3.44,1.00,3.24,2.53,-2.53,-7.87,1.97,-0.78,-0.96,0.78,-0.04,0.00,-0.04,0.36,0.34,0.55,0.02,0.18,0.07,0.19,0.95,0.37
10.55,7.85,-4.85,-3.21,1.16,3.41,2.52,-2.83,-8.14,1.99,-0.72,-0.95,0.68,0.06,0.01,0.13,0.44,0.35,0.58,0.06,0.18,0.16,0.37,0.91,0.62
10.42,7.40,-5.62,-2.93,1.15,3.47,2.16,-2.47,-6.97,1.68,-0.62,-0.93,0.67,-0.09,0.08,0.04,0.48,0.31,0.60,0.07,0.15,0.23,0.49,0.79,0.81
10.36,7.92,-4.92,-2.72,1.28,3.46,1.77,-1.06,-4.79,1.33,-0.24,-0.78,0.59,-0.00,0.00,-0.04,1.18,0.31,0.63,-0.00,0.07,0.52,-0.01,0.34,0.70
10.53,8.20,-4.17,-3.23,1.51,3.60,1.99,-3.26,-5.55,2.36,-0.60,-0.78,0.79,-0.03,-0.08,-0.04,1.21,0.35,0.76,0.04,0.13,0.58,0.10,0.48,0.63
10.83,7.88,-3.84,-3.99,1.72,4.56,2.24,-5.46,-9.71,3.06,-0.69,-0.95,0.79,-0.10,0.00,-0.05,0.59,0.36,0.90,0.15,0.25,0.38,0.70,0.76,0.71
10.81,8.24,-3.78,-3.51,1.44,4.46,2.08,-4.24,-8.79,2.29,-0.66,-0.95,0.76,-0.01,0.07,0.04,0.54,0.29,0.86,0.10,0.17,0.34,0.65,0.68,0.73
10.70,8.29,-4.26,-3.30,1.16,3.88,1.90,-2.49,-6.66,1.74,-0.55,-0.90,0.79,0.01,-0.04,0.02,0.55,0.29,0.70,0.07,0.11,0.25,0.44,0.53,0.64
10.66,8.06,-3.97,-3.89,1.12,3.92,1.93,-1.86,-6.84,1.57,-0.43,-0.90,0.73,0.05,-0.09,-0.02,0.52,0.27,0.70,0.08,0.10,0.23,0.57,0.52,0.65
